SUBID,NEIGHBOURS
8122473.0,"[8100357.0, 8122349.0, 8123567.0, 8001003.0, 8001002.0, 8000999.0]"
8100592.0,[8128142.0]
8128142.0,"[8100592.0, 8001030.0, 8001028.0, 8319171.0, 8127821.0]"
8000049.0,"[8000050.0, 8000045.0, 8305514.0]"
8000048.0,"[8000471.0, 8305561.0]"
8801598.0,[8000656.0]
8118593.0,"[8118328.0, 8117881.0, 8101523.0, 8118172.0, 8121539.0]"
8122489.0,"[8122660.0, 8100707.0, 8100365.0, 8121900.0, 8104146.0, 8122284.0, 8100026.0]"
8219918.0,"[8219663.0, 8219747.0, 8219788.0]"
8000834.0,"[8301972.0, 8000831.0, 8000832.0, 8304267.0]"
8301972.0,"[8000834.0, 8000831.0]"
8000831.0,"[8000834.0, 8301972.0, 8312639.0, 8000832.0, 8312717.0, 8312741.0, 8312646.0, 8304267.0, 8313261.0]"
8312639.0,"[8000831.0, 8000832.0, 8304250.0, 8312717.0]"
8000832.0,"[8000834.0, 8000831.0, 8312639.0, 8304493.0, 8000830.0, 8304250.0, 8304267.0, 8304220.0]"
8304493.0,"[8000832.0, 8303998.0, 8000830.0, 8304495.0, 8304220.0, 8304368.0, 8304186.0]"
8303998.0,"[8304493.0, 8000830.0, 8303976.0, 8000829.0, 8304495.0]"
8124362.0,"[8124669.0, 8100425.0, 8125031.0]"
8000075.0,"[8000070.0, 8000072.0, 8000843.0, 8000842.0, 8000851.0, 8000840.0, 8000930.0, 8124680.0, 8125847.0, 8125177.0]"
8000070.0,"[8000075.0, 8000072.0, 8000930.0, 8100428.0]"
8000071.0,"[8000207.0, 8000067.0, 8000200.0, 8301371.0, 8301944.0, 8303483.0]"
8210644.0,"[8210073.0, 8208813.0, 8209083.0, 8211186.0]"
8210073.0,"[8210644.0, 8208813.0]"
8208813.0,"[8210644.0, 8210073.0, 8209169.0, 8000358.0, 8211186.0, 8000357.0, 8207986.0, 8210900.0, 8209775.0]"
8209169.0,"[8208813.0, 8000358.0, 8210610.0, 8210900.0]"
8000358.0,"[8208813.0, 8209169.0, 8210610.0, 8000357.0]"
8210610.0,"[8209169.0, 8000358.0, 8208101.0, 8000357.0, 8210900.0, 8200480.0, 8210911.0]"
8208101.0,"[8210610.0, 8210900.0, 8209972.0, 8200480.0]"
8000076.0,"[8000083.0, 8000080.0, 8122284.0, 8121824.0]"
8000024.0,[8200548.0]
8000102.0,"[8000103.0, 8000097.0, 8000096.0]"
8000105.0,"[8000107.0, 8205250.0, 8000103.0, 8000097.0, 8000099.0, 8000104.0]"
8000107.0,"[8000105.0, 8200296.0, 8200297.0, 8203754.0, 8205132.0, 8000104.0, 8000106.0]"
8000565.0,"[8000567.0, 8000563.0, 8209772.0]"
8000566.0,"[8000567.0, 8209172.0, 8000563.0, 8209580.0, 8208956.0, 8000549.0]"
8000567.0,"[8000565.0, 8000566.0, 8209008.0, 8209172.0, 8000563.0, 8209845.0, 8209772.0]"
8200012.0,"[8200223.0, 8200277.0, 8200347.0, 8200407.0, 8200021.0, 8200639.0, 8200495.0]"
8200030.0,"[8200197.0, 8200314.0, 8200341.0, 8200608.0, 8200260.0, 8200072.0]"
